R001,alice,Q01,9,11,COMPLETED
R002,bob,G01,14,16,COMPLETED
R003,charlie,G02,10,12,CANCELLED
R004,diana,Q06,13,15,CANCELLED
R005,bob,G03,9,11,COMPLETED
R006,alice,Q01,12,16,COMPLETED
R007,alice,Q03,12,17,COMPLETED
R008,frank,Q05,8,10,CANCELLED
R009,charlie,Q01,14,16,CANCELLED
R010,diana,G04,8,10,CANCELLED
R011,eve,Q02,12,16,CANCELLED
R93774,alice,Q02,8,10,COMPLETED
R38675,alice,Q02,11,13,COMPLETED
R57244,bob,Q02,8,10,COMPLETED
R82303,bob,Q04,8,10,CANCELLED
R91861,bob,Q04,12,14,COMPLETED
R57481,alice,G01,14,15,COMPLETED
R35892,alice,Q01,11,17,CANCELLED
R43070,alice,Q01,9,10,COMPLETED
R70639,alice,Q01,9,10,CANCELLED
R36411,alice,G01,9,10,COMPLETED
R69433,alice,Q01,8,10,COMPLETED
R39213,alice,Q04,8,10,COMPLETED
R58714,alice,Q01,17,19,COMPLETED
R15877,alice,Q02,21,22,CANCELLED
R15348,alice,Q02,22,23,COMPLETED
R23240,alice,G01,22,23,COMPLETED
R67093,alice,G01,22,23,CANCELLED
R37330,alice,Q02,22,23,COMPLETED
R74763,bob,Q01,22,23,CANCELLED
R7995,alice,Q03,22,23,CANCELLED
R43169,alice,Q03,22,23,COMPLETED
R28237,alice,G01,22,23,CANCELLED
R56280,alice,G01,22,23,CANCELLED
R85370,alice,G02,23,24,CANCELLED
R69074,alice,G01,23,24,CANCELLED
R70292,alice,Q03,14,15,CANCELLED
R4402,bob,G07,11,12,COMPLETED
R58795,alice,G02,12,14,CANCELLED
R20868,alice,G02,12,14,CANCELLED
R62052,alice,G08,12,14,CANCELLED
R82292,alice,Q05,22,24,CANCELLED
R95127,alice,Q05,22,24,CANCELLED
R42808,alice,Q01,21,24,CANCELLED
R61958,alice,Q04,20,22,CANCELLED
R2833,alice,Q01,20,22,CANCELLED
